"D:\Projects\Marchand\Data\Carothers\230815\full_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V full_1.d "
"D:\Projects\Marchand\Data\Carothers\230815\full_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_1.d" ,"4" ,0.735,0.746,0.759,2151.27,2393.33,8.27,18.93,3.00,0.019,,1475.69,1317.10,,,,,0.00,0.00,1.15,2188.36,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_1.d" ,"5" ,0.759,0.773,0.821,2953.63,6245.63,21.57,25.99,7.83,0.039,,1317.10,1431.57,,,,,0.00,0.00,0.28,3023.27,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_1.d" ,"6" ,0.821,0.892,0.905,2161.38,6316.12,21.81,19.02,7.92,0.056,,1431.57,0.00,,,,,0.00,0.00,6.07,1529.90,,,  ,190.0284,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_1.d" ,"7" ,0.905,0.952,0.983,11365.92,28954.38,100.00,100.00,36.30,0.034,,0.00,0.00,,,,,0.00,0.00,1.03,11543.23,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_1.d" ,"8" ,0.983,0.994,1.006,5648.22,5132.95,17.73,49.69,6.44,0.015,,0.00,2703.45,,,,,0.00,0.00,0.72,4519.42,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_1.d" ,"9" ,1.006,1.014,1.030,4188.35,4244.97,14.66,36.85,5.32,0.017,,2703.45,1505.71,,,,,0.00,0.00,0.78,3582.51,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_1.d" ,"10" ,1.030,1.064,1.125,2602.33,9516.75,32.87,22.90,11.93,0.059,,1505.71,0.00,,,,,0.00,0.00,0.53,2338.78,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_1.d" ,"11" ,1.125,1.155,1.205,1075.60,2071.11,7.15,9.46,2.60,0.033,,0.00,873.35,,,,,0.00,1125.00,0.59,1651.00,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_2.d"," -ESI EIC(87.0082) Scan Frag=175.0V mod3-neg_2.d "
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_2.d" ,"1" ,0.559,0.581,0.592,1530.55,1200.92,9.20,14.15,2.01,0.013,,0.00,0.00,,,,,0.00,0.00,1.06,1019.51,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_2.d" ,"2" ,0.592,0.619,0.640,1973.48,3261.04,24.98,18.24,5.45,0.028,,0.00,0.00,,,,,0.00,0.00,1.56,2117.22,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_2.d" ,"3" ,0.640,0.661,0.765,2627.72,10674.56,81.77,24.29,17.84,0.063,,0.00,1479.87,,,,,0.00,0.00,0.18,2695.39,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_2.d" ,"4" ,0.765,0.774,0.785,2161.95,1793.99,13.74,19.98,3.00,0.014,,1479.87,0.00,,,,,0.00,0.00,0.97,2362.86,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_2.d" ,"5" ,0.785,0.800,0.881,2449.64,7700.12,58.99,22.64,12.87,0.052,,0.00,701.37,,,,,0.00,0.00,0.26,2454.43,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_2.d" ,"6" ,0.881,0.905,0.920,2535.09,2677.35,20.51,23.43,4.47,0.018,,701.37,0.00,,,,,0.00,0.00,2.21,2612.25,,,  ,190.0284,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_2.d" ,"7" ,0.920,0.952,0.963,10820.06,13053.89,100.00,100.00,21.81,0.020,,0.00,6174.92,,,,,0.00,93.03,1.74,10806.78,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_2.d" ,"8" ,0.963,0.976,1.023,5786.14,10116.69,77.50,53.48,16.91,0.029,,6174.92,1713.52,,,,,93.03,221.36,0.48,5936.97,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_2.d" ,"9" ,1.023,1.043,1.068,2188.65,4263.81,32.66,20.23,7.13,0.028,,1713.52,0.00,,,,,221.36,318.41,1.11,2440.71,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_2.d" ,"10" ,1.068,1.097,1.114,1611.47,2655.51,20.34,14.89,4.44,0.025,,0.00,0.00,,,,,318.41,417.50,2.65,1914.24,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_2.d" ,"11" ,1.114,1.136,1.180,1132.18,1987.28,15.22,10.46,3.32,0.029,,0.00,0.00,,,,,417.50,558.96,1.02,1125.18,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\mod3-neg_2.d" ,"12" ,1.180,1.193,1.204,577.50,454.20,3.48,5.34,0.76,0.013,,0.00,630.94,,,,,558.96,833.00,0.67,746.74,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\pyc_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V pyc_1.d "
"D:\Projects\Marchand\Data\Carothers\230815\pyc_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\pyc_1.d" ,"1" ,0.885,0.937,1.202,192782.66,1121608.45,100.00,100.00,100.00,0.079,,0.00,1226.45,,,,,550.54,2357.50,0.34,191134.38,,,  ,190.0363,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\pyc_2.d"," -ESI EIC(87.0082) Scan Frag=175.0V pyc_2.d "
"D:\Projects\Marchand\Data\Carothers\230815\pyc_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\pyc_2.d" ,"1" ,0.655,0.672,0.762,5221.42,14859.91,1.51,2.79,1.29,0.050,,3330.04,0.00,,,,,130.21,266.77,0.22,5819.06,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\pyc_2.d" ,"2" ,0.762,0.807,0.858,4709.64,15426.01,1.57,2.52,1.33,0.055,,0.00,2736.03,,,,,266.77,389.09,0.70,5398.44,,,  ,134.0451,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\pyc_2.d" ,"3" ,0.858,0.945,1.056,187120.02,984339.96,100.00,100.00,85.16,0.067,,2736.03,32487.76,,,,,389.09,640.64,0.59,190378.41,,,  ,190.0363,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\pyc_2.d" ,"4" ,1.056,1.063,1.171,34381.51,129005.97,13.11,18.37,11.16,0.063,,32487.76,8174.68,,,,,640.64,786.14,0.12,34211.87,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\pyc_2.d" ,"5" ,1.171,1.181,1.203,8989.87,12266.70,1.25,4.80,1.06,0.023,,8174.68,1670.54,,,,,786.14,827.50,0.67,9540.31,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\sds_1.d"," -ESI EIC(87.0082) Scan Frag=175.0V sds_1.d "
"D:\Projects\Marchand\Data\Carothers\230815\sds_1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\sds_1.d" ,"1" ,0.560,0.589,0.605,1731.79,2212.37,3.60,10.44,2.20,0.022,,0.00,0.00,,,,,0.00,0.00,1.45,1837.21,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_1.d" ,"2" ,0.605,0.617,0.626,1598.85,1227.08,2.00,9.64,1.22,0.013,,0.00,930.33,,,,,0.00,0.00,0.91,1530.17,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_1.d" ,"3" ,0.626,0.637,0.647,2455.24,1873.95,3.05,14.80,1.87,0.013,,930.33,1922.74,,,,,0.00,0.00,1.12,1564.94,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_1.d" ,"4" ,0.647,0.661,0.680,2736.60,3103.62,5.05,16.49,3.09,0.019,,1922.74,0.00,,,,,0.00,0.00,1.05,2737.70,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_1.d" ,"5" ,0.680,0.703,0.721,2568.89,3002.63,4.88,15.48,2.99,0.021,,0.00,0.00,,,,,0.00,0.00,1.09,1949.20,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_1.d" ,"6" ,0.721,0.742,0.775,1721.91,4060.19,6.60,10.38,4.05,0.039,,0.00,1664.74,,,,,0.00,0.95,0.53,1143.64,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_1.d" ,"7" ,0.775,0.809,0.820,2269.29,4357.47,7.09,13.68,4.34,0.032,,1664.74,1552.26,,,,,0.95,1.75,3.16,2340.34,,,  ,134.0451,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_1.d" ,"8" ,0.820,0.849,0.861,2119.19,3732.33,6.07,12.77,3.72,0.028,,1552.26,1240.22,,,,,1.75,2.47,2.25,2068.80,,,  ,190.0363,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_1.d" ,"9" ,0.861,0.875,0.906,1512.18,3445.00,5.60,9.11,3.43,0.038,,1240.22,0.00,,,,,2.47,3.26,0.50,1291.76,,,  ,190.0363,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_1.d" ,"10" ,0.906,0.940,1.040,16590.75,61475.93,100.00,100.00,61.25,0.048,,0.00,2838.29,,,,,3.26,5.64,0.49,16776.23,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_1.d" ,"11" ,1.040,1.050,1.063,2840.46,2599.79,4.23,17.12,2.59,0.015,,2838.29,2143.12,,,,,5.64,6.04,0.71,2843.85,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_1.d" ,"12" ,1.063,1.074,1.125,2819.27,5214.33,8.48,16.99,5.20,0.031,,2143.12,0.00,,,,,6.04,7.15,0.31,1806.97,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_1.d" ,"13" ,1.125,1.155,1.167,1608.95,2217.89,3.61,9.70,2.21,0.023,,0.00,0.00,,,,,7.15,363.13,2.13,1917.58,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_1.d" ,"14" ,1.167,1.177,1.201,1422.96,1842.27,3.00,8.58,1.84,0.022,,0.00,525.36,,,,,363.13,653.50,0.38,1878.40,,,  ,248.9694,,,,,,,,,,,,

"D:\Projects\Marchand\Data\Carothers\230815\sds_2.d"," -ESI EIC(87.0082) Scan Frag=175.0V sds_2.d "
"D:\Projects\Marchand\Data\Carothers\230815\sds_2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),RI,
"D:\Projects\Marchand\Data\Carothers\230815\sds_2.d" ,"1" ,0.556,0.612,0.687,2158.02,8972.36,15.36,12.69,9.98,0.069,,0.00,1069.21,,,,,0.00,0.00,0.45,1260.45,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_2.d" ,"2" ,0.687,0.704,0.717,2302.78,2929.88,5.02,13.54,3.26,0.020,,1069.21,0.00,,,,,0.00,0.00,1.61,2369.53,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_2.d" ,"3" ,0.717,0.754,0.781,1904.55,4150.55,7.10,11.20,4.62,0.036,,0.00,0.00,,,,,0.00,0.00,1.96,2051.39,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_2.d" ,"4" ,0.781,0.802,0.814,2077.74,2146.35,3.67,12.22,2.39,0.017,,0.00,0.00,,,,,0.00,0.00,1.78,1934.20,,,  ,134.0451,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_2.d" ,"5" ,0.814,0.838,0.898,1556.33,4572.43,7.83,9.15,5.09,0.049,,0.00,0.00,,,,,0.00,250.19,0.41,2205.75,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_2.d" ,"6" ,0.898,0.942,1.016,17002.24,58418.93,100.00,100.00,64.98,0.046,,0.00,2654.04,,,,,250.19,603.87,0.64,18040.09,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_2.d" ,"7" ,1.016,1.023,1.049,2455.37,4085.25,6.99,14.44,4.54,0.028,,2654.04,1648.75,,,,,603.87,701.92,0.33,2969.29,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_2.d" ,"8" ,1.049,1.057,1.068,2316.37,1486.60,2.54,13.62,1.65,0.011,,1648.75,1589.76,,,,,701.92,759.11,1.15,3231.29,,,  ,248.9694,,,,,,,,,,,,
"D:\Projects\Marchand\Data\Carothers\230815\sds_2.d" ,"9" ,1.068,1.079,1.202,1868.69,3147.07,5.39,10.99,3.50,0.028,,1589.76,929.08,,,,,759.11,1159.00,0.24,2703.43,,,  ,248.9694,,,,,,,,,,,,

